,text,label_s,label_f,label_h
46,manka biswas kam jor hona,0,1,0
47,modi is tarah so dekhne se kuchh nahi hota,0,1,0
48,modi ji hi aise ekmatra person hai jinme desh ko age le jane ki sakti aur jajba hai,0,1,0
49,mahan bharat ka mahan beta har har modhi,0,1,0
50,modi ji aage chalo haem aapki jarurat hai,0,1,0
51,jai ho bharat mata ki w hamari sanskriti ki jo videshi bhi apnate hai,0,1,0
52,modi sir app pahale obc president ho obc ke liye kuch karo bad me koi kuch nahi karega,0,1,0
53,sab ka malik ek,1,0,0
54,modi sab pranam app bahut achya kam kar rahe hai is kam me ham sab apke sath hai or meri apse vinti hai ki app apni tabiyat ka khayal rakiye app or app jivo hajharo sal vande matram bharat mata ki jai,0,1,0
55,modi ji kale kuto ka ilaj ker do bhut bimar hai,0,1,0
56,sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega,0,0,0
57,jai hind modi sir,0,1,0
58,kiu app apne desh ki paisa ko kharab kar rahe hoapne desh to ghum ke dekha nehiaap chale dushre ki desh ghumnekoi vala kam aapse nehi hoga modi g,0,1,0
59,bahut ho gaya ghumna phirna ab paani sar se upar jaa raha hai,0,1,0
60,jai hind mera bharat mera hindusthan,0,0,0
61,world best pm narendar modi ji mira bhart mahan,0,0,0
62,lageraho modiji pura des aapke sath he,0,0,0
63,sir ji you r great ap sirf bidesh bhraman korenge ya desh ki bachhe ko v khayal rakhenge kitna garub hai hum log diya koro sahab,0,1,0
64,pm ka sammanmera sammanjay hind,0,1,0
65,jay jay ho bharat,0,0,0
66,kya baat hai g,1,1,0
67,nice pic modi ji,0,1,0
68,jaldi aa kar vyapam par kuch kijiye nahi  ke paar hattyayen pahuchne wali hai,0,1,0
69,salute you sir app bahut mehnat karte hai,0,1,0
70,congrats modi jee,0,0,0
71,modi ji aap apna kaam kijiye  kisi ki baat ko mat suniye agar  baccho me se do bigad jaayen to bhi paalna to padta hi hai,0,1,0
72,sir hm sab digitial india ke platform pe chalna chahte haimai samghta ho kifirst priority hmre force ko hny chahiye becaymuse unhe sabse jyada digital hona must hai india ke liye,1,1,0
73,wah modi sab,0,0,0
74,grt step grt relationnic job sir,0,0,0
75,kuch nahi karoge tum india ke liye,0,0,0
76,addd mee frnds,1,1,0
77,jab tak suraj chaand rahega modi ji ka naam rahega,0,0,0
78,unstoppable modi sir,0,1,0
79,jada ghumte mat raho hamlok ko madat karo hamar bare socho jara ham madat magte to mili nahi qq,0,0,0
80,modiji apne desh ka tho khayal rakho sirf gumne ke pm bane ho kiya falthi pm hai,0,1,0
81,modi ji ek aisa star hai wo jaroor india ka star badlega kya khete ho mera bhayio or bheno,0,0,0
82,modi ji namashkarsorry to say but aap jab v kahin facebook pe kuch share karte hain to status ko english me update karte haikhusi hogi jab aaapka updates hindi me,1,0,0
83,jai hind kschouhan bhinmal jalore,1,0,0
84,duniya ki technology lane par hi dess ka vikas hoga,0,1,0
85,prnam ji kuch desh ke liye mai bhi krna chahta hu bas aapka thoda sath chahiye agar mil jaye to mera kaam aasan or khubshurat hmara desh hoga,1,0,0
86,faltu time nahi hai,0,1,0
87,sir aap to india ko bhul gye or gov k paiso pr holiday pr ghum rhe ho aap india me toh dikhai hi nai dete,0,1,0
88,hello modi ji,1,1,0
89,app desh ka dadkhan jaihind,0,1,0
90,bhakt se bada anuyai hota hai,1,1,0
91,modi ji hamara hindustan ka naam saada ucha rakhnajai bharat mata jai hind,0,0,0
92,namsthe sir jai gurudhev,1,1,0
93,j banda kam kar raha hai ham maze le rahe hai jab sey india ke pm bane hai tab sey laga gai great man in the world best pm in the world only one on one,0,1,0
94,modi ji app mearaku thoda call krdejia ,1,1,0
95,is desh ko jarurat h guidelines ki varna itani jayada aabadi ka desh world no nahi ho saktajo vikas ke raste mai aata hai usko hamesha ke liye khatam kar do chahe wo koi party ho ya galat insan desh ko tarakki chahiye kisi bhi keemat par,1,1,0
96,lage raho sir,0,1,0
97,sir  namaskar mai bihar se hun aur aapka jabardash prasansak hu  aap jo desh ke liye niswarth bav se kam kar rahe hai  aapko sadaib best pm ke roop me jana jaega salute to you sir,0,1,0
98,humari sabhayata humari pehchaan,1,0,0
99,maza to tab hai jab kohinoor wapis lao,1,0,0
100,ache log ko ache gifts hi milte hain jaise indians ko aap mila sir ji,0,1,0
101,respected sir aap aaj pure bharat ki ummid ho ek naya savera aapne hi janta ko dikhaya heap dhup bhi nikaliye,0,1,0
102,onli modi sarkar,1,0,0
103,modi ji apne ye to kaha diya ki jo saksham hai vo subsiti na le main sahamat hoo per please ek bar himmat juta ker bol dijiye jo saksham hai vo arakshan na le,0,0,0
104,jai ho modi jii,0,1,0
105,sir aap se koch baat krna he zarori,1,1,0
106,sir aap kya cheez ho kamal,0,0,0
107,desh gourav badha rahe ho ayushman bhav,0,0,0
108,sir agar aapke pas thoda sa time ho toh kripa karke es desh ki nojawaano ke liye bi kuch kariye jyada jankari ke liye kripyaa msg kariye mujhe,1,1,0
109,great pm sahab yeh sab only hmare modi ji hi kar skte h,0,1,0
110,apna desh chlane ke liye bola apni myiya chuda rhe ho ghum ghum ke,0,1,0
111,up me kuchh kro nhe to  mebsp aa jayeg,0,1,0
112,modi saab ye konsi country hai,1,1,0
113,jai hind maniyo pradhan manteri ji me sena bharti nhi hua lekin me desh ki sena ko salam karta hunjai hind jai mata ki,0,1,0
114,modiji aapko hajaro salambahut pm aaya gaya karod lekhe gaya but aaptho imndar pm best of luck,0,1,0
115,namastey sir  jis tarah ap desh ki halat sudhar rhe h usi tarah please hum jese peoples pr bi dhyan dijiye,1,0,0
116,modi ji kay sare kam acche hay par ek kaam bura hay inko aapan ne jitaya election hay ya world tour package purana pm to silent mode or naye pm flight mode hamare desh ki to kismat hi kharab hay,0,1,0
117,modhiji se india ki janta ko jo umide thi vo abhi tak jaha ki taha hai kuch esa strong kare jo anewale samay me bhi bana rahe kiyki samay ab kam he,1,1,0
118,har har modi ghar ghar modi modi ji aap cha gye congresiyo ke pet me dard ho raha hai apki yattra dekh ke,0,0,0
119,ghum le puri dunia chutia bana raha pure india ko kutta sala,0,1,0
120,modiji des ne aap pr bharosa jtaya hai aap hmari ummido pr khra utrna,0,1,0
121,pradhanmantriji me sapath leta hu ki jis din humare desh ke sare neta subsidy khana band kar dege us din me bhi apne hisse ki subsidy return kar duga,1,0,0
122,india ke sabse lokpriy pm modi ji mai aapse request kartahu pm banne ke baad aap mp ke satna nahi aaye please aap jab bhi mp aaye satna aagman ko acsept kar lijiye thanku,1,1,0
123,modiji nice parson abi survat hai age age dekho hota hai kay,0,1,0
124,modi ji aap badhey chalo janta apke sath hai,0,1,0
125,hindustan ka sher pm modi jo har country ko apne desh khobiyo se intro karwana chahata haijay hind,0,1,0
126,gandhi ji aur aapne apni chhavi se na kewal desh me balki pure wiswa me bharat ka nam gauranwit kiya hai wish u all the best,0,1,0
127,bharat ka shan narendar modi lakin bihar ka kya hoga modi jee,1,0,0
128,urgent wrk hai aapke saath modi g,1,1,0
129,bharat mata ki jai,0,1,0
130,ghandhi gandhi gandhi aakhir ye gandhi hi kya ek logo ko bewkuf bana kr des ko bechne wala,0,1,0
131,jai hind jai bharat mata ki jai,0,0,0
132,poojjya narendra modiji good evning mera ek swpna hi aapkasaat ek selpy pooto chaiea anugrha deejia ples,1,0,0
133,modi jee  aap jaha jaatey ho vaha sabko apna bna latey ho  good wishes for you,0,1,0
134,jiao hind jai bharat,0,0,0
135,modi ji desh ka nam bda rhe he,0,1,0
136,maharani laxmi bai  tatya tope   subhas chandra bos   ajad   bhagat etc are the true leaders,0,0,0
137,gandhiji ka sanman itnato congress ne bhi nahi kiya,0,1,0
138,desh ko ap ki jarurat hai aage le jane ke liye,0,1,0
139, gandhi he iz a murderer he killed subhas ch bose,0,1,0
140,dont forget godse,1,1,0
141,ek aayas admi tha nehru,1,1,0
142,india kbhi bhi china ko peeeche nhi kr paaega,0,0,0
143,pmnamo namo aaj aapki vajha se saare duniya ghunj uthe hai only modi modi thanks,0,1,0
144,modi ser desh me kharab ho rha anaaaj   iske bare me kya soch rhe hy aap,1,1,0
145,hindustan ke dusre mhatma gandhi nerndr modi jee hai har har modi ghar ghar modi,0,0,0
146,jai hindmera desh mhan,0,1,0
147,ek naya itihas banayega modi ji ka karyekaal,0,1,0
148,aaj ke mahatma gandhi pmmodi jee modi jee me swami vivekanand ki chhavi bhi dikhtee hai,0,1,0
149,kabhi subhas ch bose  bhagat singh ki bhi baat kiya karo sirjijisne desh k tukde kar diye us aadmi  gandhi  ki murti anvaran karte phir raheho   narendra modiji,0,1,0
150,maine kai bar suna ki bharat ek din bishwa guru banega lekin yakeen nahin hota tha per aap kee lagan aur karya shaily se ab poora yakeen ho gaya bahut jaldi bharat maha guru ban jayega bharat maa ki jai,0,0,0
151,mast lag rhe ho modi sab,0,1,0
152,apne desh ki mahanta ko jitna bhi desh me charcha kiya jaya bhahut hi acha hai,0,1,0
153,modiji aap itna paysa ghumne me lagarahe ho desh girvi rakhana hai kya,0,1,0
154,kal modiji nagpur jar nam len sir he vinti aahe sir,1,0,0
155,mei meri puri    family modi sir se bahoot    peyar karte hai,0,1,0
156,vande mataram jai hind jai bharath,0,1,0
157,modi ji bangladash sa sab hendu ko india ma la chaleya plz eha musalman hendu ka vume dakal karlata ha or ve bahot aneti karta ha,1,1,1
158,modiji to apne desh ko aage le jane ke liye bhut kuch kr rhe hai ab desh ke youngest ko jag ne ki bari hai  jay hind,0,1,0
159,modi sir welcome aapko or hum aap jaise sir ki jarurat,0,1,0
160,sir ji aap se bat karna hai hame,1,1,0
161,bharat nav nirmaan karenge modi ji shaktishaali rastra banaaven modi ji,0,0,0
162,jai hind modi ji,0,0,0
163,udar hamare indian faoj ko pakistan goliyo se bhuj raha hai or navaj se hath mila rahe hai,0,1,0
164,bas isi tarah aap age badate rahiye hum aapke sath hai ,0,1,0
165,modi ji sorry bidesoon main mat ghoomo apne naitaoo saansdon ko pakdo belagaam hote ja tahe hain gareeboun ki socho   rs ki policiyon se kuch nahi hoga moti aasamiyoun se paisa nikalo gareboun se nahi,0,0,0
166,good deed modi bhai jihme hmara desh fir se golden sparrow bnana hwo spna sch hogajiske liye god n apko select kiya hthnku god modi ji,0,0,0
167,modi ji assam and megalaya me ak khel hota he jiska nam he ter plz usha bond kijea,1,1,0
168,may pm supar dupar nmo nmo,0,1,0
169,modi ji jay ram ji ki,0,1,0
170,lega rhia purei takt k sath sbhi bharrt venseyo ki duaey ap k sath hai,0,1,0
171,modi ji pakishtan ko muhtod jabab dena hoga,0,1,0
172,koi fayda hai inko ye sab dikhane se,0,1,0
173,kya pm bihar me aana chahte hai,1,1,0
174,sir ji kamal kardi apne vides me bhi,0,0,0
175,chankya ne kha hai  agar aapko ek kadam aage badhna hai to pahle  kadam piche rakho,1,0,0
176,pm ji ne toh poore vishwa mein ye saabit kar diya hai ki india sab ke sath badhega,0,1,0
177,modi ji grat,0,1,0
178,modi sir yeh kaunsi jagah chale gaye ho  mere se toh naam bhi sahi se nai liya ja rahalol d,1,1,0
179,modi sirf naam he kahi hei,0,1,0
180,itni energy vaala perhaps he koi pmraha ho india ka  aapkey liyye bhagvaan se prey kertey hai  sabka saath sabka vikasjai ho,0,1,0
181,modi mission   establish world brotherhoodgrt man grt thinking   modi  a boon  earth,0,1,0
182,modi ji aap aage bado hum tumhare shath he,0,1,0
183,modi g jaha bhi gaya apna jhanda gaar kar aya,0,0,0
184,modi ji bharat ki badhti abaadi ki fikar kijiye jo bharat ko patan ke maarg per lejaa rahi h,0,0,0
185,hamare desh ko aage badhane vale  logo me utsah jagane  narendra modi ji ko bhagvan hamesha khush rakhe,0,1,0
186,apka kya khna pm ji,1,0,0
187,i love umodi sir jankibhi jarurat ho to mang lena haste hastededege aap ka subh sintak,0,0,0
188,yehi jadu hai modiji ka jaha jate log pyaar karte hai,0,0,0
189,modi ji desh ke kanun me kuch sridhar karyein,0,0,0
190,lov u modi ji,0,0,0
191,yes yes yes,0,0,0
192,me bhe aap ka bahut bada dewana hu,0,0,1
193,modi ji apko sahi dimag ko me salute karta hu,0,1,0
194,mr pm hme aap par graw hai manish kumar  nasriganj,0,1,0
195,lambe samay ke baad desh ko ek samarth n samarthyavan neta mila hai jo videsho me bhi lokpriya hai,0,1,0
196,india ka log ka vote ka valu delhi me samach ayyenaindia me avo modiji idhar bhahuth problams he solve karne ka,0,0,0
197,akele modi kya ker sakte haiakela aadmi pahad nhi khod sakta,1,1,0
198,joy hind  varot mata ki joy,0,0,0
199,modiji aap great ho but dekhna kahin bahr rishte ache karte karte aapke  saal na nikal jayen p,0,1,0
200,aap great ho modi ji aapki wajah se hamara sir fakar se ucha ho gaya dunia me jay ho,0,1,0
201,sicha vibhag ki tarah koi dhyan q n deta jo most important hai log apne baccho ko sarkari college ki jagah private collego me q pdhate hai,0,1,0
202,agr is desh me badlaw lane hai to sampark kre   pe mere pass sujhaw aur tarika dono hai teachero ka vetan bhar bdhate jao jo sote hai collego me soche fir comment kre,1,1,0
203,ghumna band karo modiji ab thoda sarkar ko bhi dekhlo ,0,0,0
204,great prime minister modi ji jai hind,0,1,0
205,pm modi ji bahut udarwadi vikas purus hain,0,1,0
206,modi ji aapnea teo kamaal kar diya ji aap ka kaam deakhatea hi muchha majaa aa jata hai  tv per dekhea nhi ki mud fresh  congratulations ji,0,0,0
207,mananiy  sammananiy narendra modi ji is yug k aap lauh purush hai mujhe aap par garv hai aapko kotikoti naman,0,1,0
208,modi ji hame app per garv h lakin desh ka vikas tab hoga jab sabi bhartiyo ki soch appke jaisi hogi,0,1,0
209,aaj mere desh ko anteraatma se jaga hua honable pm mila,0,1,0
210,modi ji aap jesa koi nhi dhanywad aap desh ki kitni sewa karte hai jese ak beta apni ma ko poojta hai,0,1,0
211,narendra damodar modi g acche din kab ayenge babu hai koi upaye,0,1,0
212,ppp model chirman in rajesthan is lalit modi,1,0,0
213,tajikistan ne gurudev tagore mahatma gandhi ki peetho ki sthapanaa karake bharat k bhaavaatmak ekataa ko sudridh kiya h,0,1,0
214,hamre vote nahi milenge aapko agar us din muslim ki cap pehni to,0,1,0
215,mahan bibhutiyo ko naman karna sacchi dhridhata ka sabse anmol marg hai aapko sadar naman,0,1,0
216,namaskar app ki vikash bahut achhi gurdev sab se achhi,0,1,0
217,aap hindutva kabhi na bhuliyega,0,1,0
218,hindustan ka raja he bhai,0,0,0
219,good soch pm narendra modi,0,1,0
220,plz sir aap se baat kar ne hai,1,0,0
221,abki baar phir modi sarkar,0,1,0
222,oh great  har din apko dekh ke nai urja milta haiap jio hajoro sal sir ji or india ko biswa bijai banao,0,1,0
223,tusi bast pm ho modi ji sade im panjabi,0,1,0
224,sir apne rastriya rojgar youjana me sms job ke liye news paper me add dya he kya,1,1,0
225,mene ap ke paas mail kiya hai mughhhhhe aap se answer chahiye,1,1,0
226,modi ke maki chooooooooth me mera booooooooooolaaaaaaaaaaaaaaa,0,1,0
227,bharat mata ke ji,1,0,0
228,ise share karo plz,1,0,0
229,bjp vijay hooooooooooooo,0,1,0
230,tu bhi jhootha nikla  vaada tera vaada hi nikla,0,0,0
231,apna pm modi g ka jalwa,0,0,0
232,pm saab aapkey swatch bharat mission ke himachal ki raajdhaani sey ek tasweer bhejee hai mainey kal usey jarur dekh lena,1,1,0
233,priya narandra modi pm ji apkaisa ho good night,1,1,0
234,pm uncle abki bar naya bihar bihar ki janta banayegi bjp sarkaar,0,0,0
235,devlope sirf sahro me hota hai gawo me nahi,0,1,0
236,mee atalji ko bahat pasand kiya tha unka adarsh great tha uske bad app ayee sir i salute you,0,1,0
237,kabhi ghar me bhi raha karo modi ji,0,1,0
238,pm modi ji ki jai ho,0,1,0
239,kyonki aapke baare main jaanta hu to aap bhi mere baare me saari jaankari jaane,1,1,0
240,bahut sundar hardik subhkamnaye,0,1,0
241,modijihumane apko wot diya lekin muze ab lag raha he ki me rong tha,0,0,0
242,pranam jai ho,1,1,0
243,good morning to all of up m shri narendra bhai modi ji jay shri krishnathanks to both of usangita patil mlavijay kumar vicky mavan sonijay shri krishna,1,1,0
244,modi ji ek aise shashank hai jo wacky ki hindustan ko hindustan he bana rahi hai ab jaake hindustan taraqqi kar raha hai i love modi sarkar,0,0,0
245,modi sir ko namo namohumko garb hotahe kiuki humare matrubhumi ne yesa birpurus ko janam diyahe,0,1,0
246,apka koi v yojnaplan sahi trah se upyog nahi ho paya h,0,1,0
247,mai aap se milta chahta hu lekin mai mil nahi pawga,1,1,0
248,modi ji kese ho ap videsh me apka dheyan rakha ja raha hai na sir sir ap please jaldi se ajao fir maan ki baat karna im waiting for it sir take care sir,1,1,0
249,narendra modi ji plz court me jo cases pending hai use jldi nyai mile aisi koi upai yojna kre,0,1,0
250,election jantak chunne k hota h ya neta juth bolte h bade wade karte h lakin wahiengragi sasanise badlega kon jise humne chunna h lakin wo badlega to wo satta sukh bade ghotale janta ka pesa janta k leya kyo pryoge nahi ja raha ,0,0,0
251,bhai ghumta rahio kaaam koi na kario,0,0,0
252,or kuch ho ja na ho par j bnda sarkari paise par duniya jarur ghum lega,0,0,0
253,jb chunane ka aadhikr janta ko h to jb unhe lage ke galat aadmi chuna gaya h to yr kyo sahe uske tanasahi reject kre usa isse neta janta k pirti jyda jimmadare honge,1,0,0
254,sunil ji brahmand ke sher hain hamarein modi ji,0,0,0
255,india ka hal aisa hote jaiega to india may koi educated person nehi nicklegi,0,0,0
256,plz modi ji aapke desh basioko samjhaiya ki buddha ka janam nepalmain huwa hain na ki india me,1,1,0
257,modi siryou come biharbecause neccessary to bjp government in biharhar har modi ghar ghar modi,1,1,0
258,kewal ghumte raho aur india ka ko narak me badal do tumhara modi yahi kahani,0,1,0
259,modi ne kuch kiya ki nahi wo pata nhi pr wo  sal me pura world jrur ghum kr aayega,0,1,0
260,background music plzphul mangu na bahar mangu mai to sanam tera pyar mangu ,1,1,0
261,modi ji aap dash kahenhe sbheka diloke pmho,0,1,0
262,jabtak surj chand rhega tabtak modi ji sarkar rhega jay hind,0,0,0
263,har har modi ghar ghar modi all world modi ji gud work sir ji,0,0,0
264,kitni khoobsurat ye tasveer h,0,1,0
265,modi ji roj hajaro gaaye kat rhi he uanka kuc kro jo bi suvar gaayo ko katata he un ko fasi do ya haat per kat kr corahe pr fek do salo ko,0,0,0
266,bade dhayan se dekh rahe ho,1,1,0
267,jitni daulat ye neta log vides ghumne me kharch kar dete agar wo garibo me bat de to kitno ka pet bhar jayega,1,0,0
268,sir gay mat aki hatyaye roko,0,1,0
269,waqt sahi  nirnay sahi  sachi mein sahi waqt par sahi nirnay lenevala hamare saath hai tho  hamare bharath ko our bharat vaasiyon ko our kya chahiye sir ji hum sab aapke saath hai sir ji,0,1,0
270,kyo pade ho chakar me koi nahi hai takar me modi is best pm ,0,1,0
271,bapu g nirdhos h auko jaldi bahar lao,0,1,0
272,abhi dobara vote ho jaay bjp  seat bhi nahi mlaygi jai rajesthan,0,1,0
273,pm ky sath videsh mantri bhi h modi,1,1,0
274,sriji jantar mantra padhare aapko nyota hai ,1,1,0
275,ati uttam modi ji,0,0,0
276,modi ji apne kaha tha ki assam se sab bangladesi jald hi jayenge par apne to unko dawat pe bulawa diya  jo naukile kata tar se assam ata he uske liye to apne volvo bus bhej diye apse hamko ye ummid nehi thi,0,0,0
277,apke niti se ane wale salo me bharat sabse age hoga or apki widesh niti bahot hi badhiya h,0,1,0
278,enjoy krlo humare paise se world tour waw ,0,1,0
279,modiji yehi voh desh hai jo hume aur mazbut banayenge,0,1,0
280,nari samman desh ka samman nariki unnati desh ki unnat,0,0,0
281,pehli bar desh ki aan ban shandikhth he   jispe hame naz hesalam to pm,0,1,0
282,welcome modi jee,1,0,0
283,dhyaan se sir bike se mt gir jaana hahaha,0,1,0
284,great modi ji,0,0,0
285,please sir apke rhte vito power dila dena ,0,0,0
286,kise kaamkinh hai jo ,0,1,0
287,sir aap aage chalo hum aapke saat he,0,0,0
288,sir kuch apne desh me bhi ghoom liya jaye  kahin bijli to kahin pani aur kahin road hi nahi haiachhe din jab aayenge aate rahenge aap to aao,0,1,0
289,bharat desh ke liye avatar hai pm modi ji,0,1,0
290,mullo ko bhagaotp mat karo,0,0,0
291,jo aap ke sat rat din lga rha,1,1,0
292,sir reconnection ke liye fir se jaana pad sakta hai kya ,1,1,0
293,kailash vijaywargiya ko nikaal bahar karenge aap ya apni saari mehnat or haamare bharoshe pe paani phirwaiyega,0,1,0
294,india ka mal jitna paroge ghum lo  sal ke bad aap nehin aaoge,0,0,0
295,modig u r great pmlakin un sainiko ka bhi koi solutation h jo jantr mantr pat  din se bhukh hardtal oar baitha haur hamara media is news ko dikha bhi nhi raha hwah india ka media wah,0,1,0
296,saare jahan se achha hindustaa hamara,0,0,0
297,jo gau hatya band ni kar sakta woh hamare kam ka nehi,0,1,1
298,thank you sir apka yatra se desh ko jarur fayada hoga hame garv hai app par aur apaki nitiyo par,0,1,0
299,great sir jabtak suraz chand rahega modiji ka naam rahega,0,0,0
300,modi ji zindabaad hamare desh ka strong hain joh india ki image badlega,0,1,0
301,tan aur mann desh kay liye pranam modi ji ,0,1,0
302,great modi ji welcomes,0,1,0
303,aaj har nagarik ke man main ek hi chahat hai ki narendra modi kuch karengeaaj haar yuba,0,1,0
304,sat sat naman,1,0,0
305,welcome back mr pmab kitne din rahenge india meye paisa kisika baap ka nehi haihamara haihamare paison se bidesh ja kar ghumte ho saram nehi aati,0,1,0
306,swagatam maa bharti apne pass bula rahi h,1,1,0
307,sar in pakistanio ka kuch kijiye kuch pakistani log daily aapka naam lekar india walo ko gaaliya dete h,1,0,0
308,p m ji roj yhi khre milte ho,0,1,0
309,sehar aa gaya,1,1,0
310,sar aap se jaruri baat kar na he sar mera no ,1,0,0
311,punjab me disst ferozpur,1,1,0
312,one rank one pension ke liye pease nahi hai sharm karo bhul gaye rewadi ki pehli relli ko pm saab,0,1,0
313,sir aap jo kam country ke lea kar rahe hai uske lie aapko badhi,0,1,0
314,pm modi jeeaj mgnrega sab se top par haigaramin chhetro mai esse playan ruka hailekin esme gram rojgar sewk  je in sabka vawisy aap ke hath mai hai hum apne priwar ka laln paln dhang se nhi kr sktebacho ko achhi shiksha bhi nhi de skte,0,1,0
315,jai hind shar,0,0,0
316,sir  abhi desh ke sabhi state ka tour laga ne to nikle jaise  ke election me aap nikle the aab dekhye kitna parivartan  change hua hai ke nahi,0,1,0
317,modi g ke jajbe ko koti koti naman,0,1,0
318,aabay india k sowar cow ka peshab penay walay  pakistan aja tujhe karachi ka peshab khane ly jaounga roz  liter pelaounga or khane hai tujhe cow ka gobar bhe khelaounga maa ke choot tere or teray bhen l loray bagwan ki,0,0,1
319,sir g hum pad likh kar be barujgar ghum rhaye hain hun etni mahnat kar kye pade or etna padne k babjud be koi kaam nhi mil rha sab paise kye piche hain sir g plz hlp me sir g,0,0,0
320,future ki baat mat karo hamara aaj bigad raha hai,0,1,0
321,i trust you so very nice improvement kabhi humne apne pm se nahi bola tha pehli baar hamari baat jaan pa rahi hai mujhe asahi pm hindustan ki zameen pe chahiye tha,0,1,0
322,sir desh wasiyo ke liye kuch karne ka irada h ya phir is air india me hi gumte rahoge,0,1,0
323,safal videsh yatra ke liye badhai ho sir,0,1,0
324,sir kya berojgaari ka koi illaj hai aapke paas,0,1,0
325,jai ho modi ji,0,1,0
326,ye photographer thak gya h kya  blurred photo aayi h ,1,1,0
327,ghar me padhare gajanand ji ab ghar me padhare,1,1,0
328,log apna sapna pura karne ke liye puri duniya ko bhi dokha de sakta h,1,1,0
